"POINTID","Coarse","Clay","Sand","Silt","geometry"
31161704,27,46,13,41,c(-3.591478009, 37.44613693)
31161722,19,23,26,51,c(-3.623516269, 37.6066836)
31162316,30,20,41,39,c(-4.813040838, 42.87742952)
31181706,25,57,11,32,c(-3.57283057, 37.46718465)
31181714,33,45,12,43,c(-3.587032116, 37.53854632)
31181796,29,20,34,47,c(-3.735048159, 38.26943381)
31182080,29,24,31,45,c(-4.284414768, 40.79295051)
31201668,55,34,15,51,c(-3.483846436, 37.13126405)
31201708,26,46,9,45,c(-3.554173031, 37.4882285)
31202288,39,26,35,39,c(-4.702673235, 42.63717106)
31221710,17,44,17,39,c(-3.535505379, 37.50926845)
31222070,22,11,45,44,c(-4.217521176, 40.71107121)
31222080,13,14,43,42,c(-4.237830141, 40.79973557)
31222092,14,5,85,9,c(-4.26230466, 40.9061136)
31241716,24,41,17,42,c(-3.523905935, 37.56598867)
31242076,45,10,57,33,c(-4.206414009, 40.76765367)
31242288,26,21,43,36,c(-4.654736377, 42.64418603)
31261692,32,14,39,47,c(-3.459426568, 37.35502593)
31261732,32,39,25,36,c(-3.530048735, 37.71189903)
31262344,39,24,25,50,c(-4.755395768, 43.14233644)
31281644,57,8,69,23,c(-3.354003829, 36.92960204)
31281680,40,7,67,26,c(-3.416307495, 37.25108409)
31281708,8,37,24,39,c(-3.465339311, 37.50098655)
31283382,25,8,64,29,c(-7.662769516, 52.2353977)
31301718,3,57,11,32,c(-3.460733397, 37.59338939)
31301736,10,38,18,44,c(-3.49259031, 37.75395799)
31301740,90,9,57,34,c(-3.499698483, 37.78963315)
31302340,23,23,28,49,c(-4.69809535, 43.11406306)
31321630,60,16,40,44,c(-3.285990522, 36.81080095)
31321706,19,51,12,37,c(-3.417403738, 37.48948635)
31321720,19,29,29,42,c(-3.442014996, 37.61440989)
31321796,31,18,40,43,c(-3.577869087, 38.29204289)
31322300,35,11,64,25,c(-4.585184224, 42.7642038)
31322332,35,23,23,54,c(-4.656074184, 43.04692001)
31323424,14,13,31,57,c(-7.755296852, 52.60860499)
31341700,39,35,29,36,c(-3.384700473, 37.43910078)
31341710,29,31,35,34,c(-3.402200687, 37.52834896)
31341718,22,28,31,41,c(-3.416247445, 37.59973643)
31341722,32,32,30,37,c(-3.423286407, 37.63542648)
31361778,9,24,50,26,c(-3.500522196, 38.1380251)
31362272,20,21,45,34,c(-4.476033643, 42.52363693)
31381690,14,21,55,23,c(-3.32292519, 37.3561368)
31382064,21,15,43,42,c(-4.019346039, 40.68471624)
31382100,11,20,28,52,c(-4.091756075, 41.00403042)
31382306,25,25,33,43,c(-4.52627083, 42.82766859)
31402080,32,11,50,40,c(-4.028090792, 40.82999713)
31421676,35,12,38,49,c(-3.254428759, 37.23739435)
31421694,43,36,23,41,c(-3.285501679, 37.39813052)
31421712,12,37,24,39,c(-3.316781468, 37.55881695)
31422058,22,8,76,17,c(-3.960884177, 40.63813051)
31422310,36,27,20,54,c(-4.486932377, 42.86995928)
31441638,53,23,26,51,c(-3.167466716, 36.9010057)
31441666,48,11,46,43,c(-3.215144248, 37.15119534)
31441702,27,28,31,40,c(-3.277169503, 37.47269016)
31441710,21,45,16,39,c(-3.291065028, 37.54410645)
31441750,2,30,30,39,c(-3.361162634, 37.9010415)
31442088,10,18,30,53,c(-3.997486185, 40.90763116)
