"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
27942164,"PT","PT1","PT11","PT11A",c(-8.24217129, 40.9067534)
27942398,"ES","ES1","ES11","ES111",c(-8.881328774, 42.94881067)
27961830,"PT","PT1","PT18","PT184",c(-7.400866372, 37.97854304)
27961888,"PT","PT1","PT18","PT187",c(-7.535734711, 38.48926898)
27961906,"PT","PT1","PT18","PT187",c(-7.578180627, 38.64764311)
27961960,"PT","PT1","PT18","PT186",c(-7.707231429, 39.12240511)
27961978,"PT","PT1","PT18","PT186",c(-7.7508278, 39.28053911)
27962194,"PT","PT1","PT11","PT11C",c(-8.297689432, 41.17347449)
27962388,"ES","ES1","ES11","ES111",c(-8.828972496, 42.86624602)
27962406,"ES","ES1","ES11","ES111",c(-8.880337636, 43.02295198)
27981792,"ES","ES6","ES61","ES615",c(-7.291944863, 37.64766984)
27981828,"PT","PT1","PT18","PT184",c(-7.374066696, 37.96502252)
27981900,"PT","PT1","PT18","PT187",c(-7.54160659, 38.5990055)
27981936,"PT","PT1","PT18","PT187",c(-7.627063194, 38.91563662)
27981972,"PT","PT1","PT18","PT186",c(-7.713670721, 39.23202797)
27982170,"PT","PT1","PT11","PT11A",c(-8.211525863, 40.96790225)
27982314,"ES","ES1","ES11","ES114",c(-8.597974452, 42.22580738)
27982368,"ES","ES1","ES11","ES111",c(-8.748552828, 42.69653039)
28001832,"PT","PT1","PT18","PT184",c(-7.361045307, 38.00436825)
28002400,"ES","ES1","ES11","ES111",c(-8.815422826, 42.97971315)
28021894,"PT","PT1","PT18","PT187",c(-7.482711837, 38.55448125)
28021948,"PT","PT1","PT18","PT186",c(-7.610744609, 39.02946713)
28022110,"PT","PT1","PT16","PT16G",c(-8.010723245, 40.45120013)
28022134,"PT","PT1","PT16","PT16G",c(-8.072087181, 40.6614164)
28022146,"PT","PT1","PT16","PT16G",c(-8.102979965, 40.76648479)
28022250,"PT","PT1","PT11","PT112",c(-8.376746755, 41.6759665)
28022380,"ES","ES1","ES11","ES111",c(-8.7348188, 42.81000969)
28022434,"ES","ES1","ES11","ES111",c(-8.88900416, 43.28015162)
28041928,"PT","PT1","PT18","PT187",c(-7.540547715, 38.85775853)
28041942,"PT","PT1","PT18","PT186",c(-7.57387511, 38.98087583)
28041960,"PT","PT1","PT18","PT186",c(-7.616980505, 39.13911643)
28041996,"PT","PT1","PT18","PT186",c(-7.704064572, 39.45541868)
28042122,"PT","PT1","PT16","PT16G",c(-8.018305845, 40.56059987)
28042126,"PT","PT1","PT16","PT16G",c(-8.028529155, 40.59563721)
28042176,"PT","PT1","PT11","PT11C",c(-8.157644417, 41.03335579)
28061794,"ES","ES6","ES61","ES615",c(-7.208015428, 37.68157936)
28061934,"PT","PT1","PT18","PT187",c(-7.532312798, 38.91467545)
28062190,"PT","PT1","PT11","PT11C",c(-8.171007081, 41.16015511)
28062298,"ES","ES1","ES11","ES114",c(-8.459725379, 42.10385698)
28062352,"ES","ES1","ES11","ES114",c(-8.60868731, 42.574902)
28081882,"PT","PT1","PT18","PT187",c(-7.38754261, 38.46120037)
28082152,"PT","PT1","PT16","PT16G",c(-8.049117564, 40.83189042)
28082380,"ES","ES1","ES11","ES111",c(-8.663349068, 42.82338984)
28082404,"ES","ES1","ES11","ES111",c(-8.731238933, 43.03246402)
