"POINTID_2015","POINTID_2018","SURVEY_DATE","Revisited_point","Elevation","Coarse","Clay","Sand","Silt","pH_CaCl2_2015","pH_CaCl2_2018","pH_H20","pH_H2O","EC_2015","EC_2018","OC_2015","OC_2018","OC..20.30.cm.","CaCO3_2015","CaCO3_2018","CaCO3..20.30.cm.","P_2015","P_2018","N_2015","N_2018","K_2015","K_2018","LC_2015","LC_2018","LU_2015","LU_2018","NUTS_0_2015","NUTS_0_2018","NUTS_1_2015","NUTS_1_2018","NUTS_2_2015","NUTS_2_2018","NUTS_3_2015","NUTS_3_2018","Soil_Stones","Depth","Ox_Al","Ox_Fe","Elev","TH_LAT","TH_LONG"
27041876,27041876,"20-06-18","No",377,NA,NA,NA,NA,4.5,4.8,5.41,5.88,2.17,2.97,7.1,"6","",0,NA,NA,4.7,"< LOD",0.6,"0.7",196.4,"30.4","E20","E20","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",1,"0-20 cm",NA,NA,129,38.18799401,-8.532129552
27061758,27061758,"08-06-18","No",570,NA,NA,NA,NA,7.6,7,8.01,7.78,18.62,16.61,3.9,"21.1","16.3",695,"577",627,5.9,"< LOD",1.8,"1.8",418.8,"360.2","B74","B74","U111","U111","PT","PT","PT1","PT1","PT15","PT15","PT150","PT150",1,"0-20 cm",NA,NA,182,37.15573516,-8.225788031
27061888,27061888,"17-06-18","No",348,NA,NA,NA,NA,5.1,4.8,5.75,5.96,5.3,3.46,11.2,"9.5","",0,"1",NA,5.3,"< LOD",0.9,"0.7",72.1,"73.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",2,"0-20 cm",NA,NA,133,38.29762997,-8.539497845
27061970,27061970,"01-06-18","No",399,NA,NA,NA,NA,6,5.3,6.3,5.65,10.56,13.14,3.7,"3.3","3.2",0,NA,NA,58.4,"54.9",0.5,"0.4",45.9,"28.5","B16","B21","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",NA,NA,82,39.01619339,-8.745206354
27081828,27081828,"13-05-18","No",323,NA,NA,NA,NA,5,4.8,5.54,5.86,4.69,3.65,12.1,"11","6.7",0,NA,NA,5.5,"< LOD",1.4,"1.2",43,"42.7","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,181,37.77534776,-8.370764946
27101814,27101814,"23-07-18","No",188,NA,NA,NA,NA,5.2,5.4,5.74,5.81,4.14,4.61,12.8,"20.7","12.9",0,NA,NA,5.3,"< LOD",1.7,"1.8",99.9,"81.8","C10","C10","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT184","PT184",1,"0-20 cm",NA,NA,244,37.65667873,-8.314985341
27101892,27101892,"15-06-18","No",310,NA,NA,NA,NA,4.8,4.4,5.53,5.36,1.56,3.77,4.3,"5.5","",0,"1",NA,0,"< LOD",0.3,"0.3",13.3,"19.3","C22","C32","U120","U120","PT","PT","PT1","PT1","PT18","PT18","PT181","PT181",4,"0-20 cm",NA,NA,104,38.34145735,-8.504861164
27101940,27101940,"09-07-18","No",183,NA,NA,NA,NA,5.5,5.5,5.81,6.18,3.97,5.82,10.3,"6.1","",0,NA,NA,17,"23.6",1,"0.7",59.7,"75.9","F40","E20","U112","U111","PT","PT","PT1","PT1","PT17","PT17","PT170","PT170",1,"0-20 cm",NA,NA,89,38.76226676,-8.624439327
27101964,27101964,"01-06-18","No",497,NA,NA,NA,NA,6.1,5.9,6.37,6.37,12.31,9.41,4.2,"2.6","",0,NA,NA,33.9,"41.7",0.5,"0.4",60.8,"30.4","B42","B21","U111","U111","PT","PT","PT1","PT1","PT18","PT18","PT185","PT185",1,"0-20 cm",NA,NA,93,38.97250221,-8.685027762
27102048,27102048,"21-06-18","No",58,NA,NA,NA,NA,4.8,4.9,5.54,5.84,2.87,3.73,3.5,"4.8","",2,"2",NA,0,NA,0.3,"0.2",76.7,"36.7","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16F","PT16F",1,"0-20 cm",NA,NA,223,39.7074376,-8.901391332
