"POINTID","SURVEY_DATE","Depth","pH_CaCl2","pH_H2O","EC","OC","OC..20.30.cm.","CaCO3","CaCO3..20.30.cm.","P","N","K","Ox_Al","Ox_Fe","Elev","NUTS_0","NUTS_1","NUTS_2","NUTS_3","TH_LAT","TH_LONG","LC","LU"
45762170,"18-07-18","0-20 cm",6,6.33,29.8,"74.6","","3",NA,"< LOD","6.6","277.3",NA,NA,1425,"IT","ITI","ITI4","ITI42",42.58859472,13.09769236,"C10","U120"
45762596,"02-06-18","0-20 cm",7.1,7.38,52.1,"161.8","","140",NA,"14.4","8.2","100.4",NA,NA,450,"IT","ITH","ITH4","ITH42",46.42604175,13.31511922,"C22","U120"
45762794,"07-06-18","0-20 cm",5,5.57,21.1,"11.8","",NA,NA,"57.1","1.6","146.1",NA,NA,463,"AT","AT3","AT31","AT311",48.2062195,13.4305462,"B16","U111"
45763046,"01-08-18","0-20 cm",6.6,7.07,15.35,"30.6","","1",NA,"13.6","2.5","502.7",NA,NA,236,"CZ","CZ0","CZ04","CZ042",50.46964178,13.59324995,"B11","U111"
45763604,"11-09-18","0-20 cm",5,5.63,12.91,"19","",NA,NA,"32.6","2.3","86.2",NA,NA,35,"SE","SE2","SE22","SE224",55.47646837,14.03299971,"F40","U111"
45763802,"05-06-18","0-20 cm",4.4,5.19,6.83,"32.7","",NA,NA,"24.5","2.6","65.6",NA,NA,178,"SE","SE2","SE21","SE211",57.25270016,14.22267548,"E20","U111"
45763820,"07-08-18","0-20 cm",4.2,4.99,7.93,"52.8","",NA,NA,"34.6","3.5","45.4",NA,NA,207,"SE","SE2","SE21","SE211",57.41419081,14.24098025,"C21","U120"
45764378,"06-07-18","0-20 cm",3.1,3.76,26.6,"155.3","",NA,NA,"107.5","4.3","324.1",NA,NA,296,"SE","SE3","SE32","SE321",62.423616,14.91857918,"C21","U120"
45764414,"07-07-18","0-20 cm",4.8,5.18,27.9,"110.8","",NA,NA,"16.9","5","38.2",NA,NA,334,"SE","SE3","SE32","SE322",62.74711777,14.97112257,"C21","U120"
45764468,"10-10-18","0-20 cm",4.6,4.98,15.08,"19.2","",NA,NA,"< LOD","1.7","80.4",NA,NA,346,"SE","SE3","SE32","SE322",63.23246424,15.05238658,"E30","U120"
45764630,"17-07-18","0-20 cm",4.1,4.77,8.27,"42.2","","1",NA,"< LOD","2.4","31.1",NA,NA,486,"SE","SE3","SE33","SE331",64.68923683,15.31541325,"C31","U120"
45764738,"22-07-18","0-20 cm",3.9,4.51,2.72,"8.4","","1",NA,"24.6","0.6","18.4",NA,NA,436,"SE","SE3","SE33","SE331",65.66108785,15.50874234,"C31","U120"
45764748,"22-07-18","0-20 cm",3.7,4.25,4.37,"12.6","","2",NA,"29.2","1","15.9",NA,NA,467,"SE","SE3","SE33","SE331",65.75110304,15.52744743,"C10","U120"
45781654,"07-06-18","0-20 cm",7.5,8.05,15.55,"7.3","","5",NA,"< LOD","0.9","208.5",NA,NA,209,"IT","ITG","ITG1","ITG11",37.92121538,12.90243882,"B82","U111"
45782694,"19-06-18","0-20 cm",5.1,5.36,97.73,"58.7","",NA,NA,"74.4","6.3","202.7",NA,NA,1036,"AT","AT3","AT32","AT322",47.30654331,13.39739192,"E20","U111"
45782760,"02-05-18","0-20 cm",6.4,6.72,42.42,"319.2","",NA,NA,"71.3","21.7","694.9",NA,NA,599,"AT","AT3","AT31","AT315",47.89982439,13.43670696,"E20","U111"
45782870,"26-09-18","0-20 cm",4.8,5.28,25.09,"52.2","",NA,NA,"12.9","5","235.6",NA,NA,8888,"DE","DE2","DE22","DE225",48.88822082,13.50488,"E20","U111"
45782960,"07-08-18","0-20 cm",5,5.65,14.63,"19.6","",NA,NA,"76.4","2.3","202.5",0.9,1.6,509,"CZ","CZ0","CZ03","CZ032",49.69657406,13.5632654,"B13","U111"
45783000,"15-08-18","0-20 cm",5.4,6.11,8.32,"23.6","",NA,NA,"13.3","2.3","208.1",NA,NA,519,"CZ","CZ0","CZ02","CZ020",50.05575639,13.5900083,"B11","U111"
45783058,"09-08-18","0-20 cm",5.2,5.88,8.39,"20.6","","1",NA,"10.5","2","455.9",NA,NA,296,"CZ","CZ0","CZ04","CZ042",50.57648634,13.62969037,"C10","U120"
45784048,"19-08-18","0-20 cm",3.3,4.11,7.79,"85.3","",NA,NA,"17.7","3.6","82.4",NA,NA,109,"SE","SE1","SE12","SE124",59.45901591,14.52529816,"C22","U120"
45784076,"24-08-18","0-20 cm",3.1,4.02,12.38,"133.4","","1",NA,"28.8","4.3","162.8",NA,NA,144,"SE","SE1","SE12","SE124",59.71033423,14.55855479,"C22","U120"
45784094,"25-08-18","0-20 cm",3,3.89,6.1,"81.5","","1",NA,"19.5","2.1","76.1",NA,NA,170,"SE","SE1","SE12","SE124",59.87190564,14.58023618,"C33","U120"
45784116,"13-10-18","0-20 cm",3.7,4.53,7.96,"71.5","","1",NA,"< LOD","3","77.6",NA,NA,292,"SE","SE3","SE31","SE312",60.0693925,14.60706341,"C31","U120"
45784130,"13-10-18","0-20 cm",2.7,3.75,14.36,"503.6","","1",NA,"34.3","12","678.1",NA,NA,259,"SE","SE3","SE31","SE312",60.19507228,14.62432608,"C22","U120"
45784138,"14-10-18","0-20 cm",3.4,4.35,21.4,"350.3","","1",NA,"58.3","15.8","287.2",NA,NA,329,"SE","SE3","SE31","SE312",60.26689156,14.63425799,"C31","U120"
45784174,"25-09-18","0-20 cm",3.1,4.32,15.78,"421.2","","5",NA,"15.4","10.4","225.2",NA,NA,324,"SE","SE3","SE31","SE312",60.59009945,14.67957021,"C22","U420"
45784336,"13-08-18","0-20 cm",4.3,4.97,2.31,"23.7","",NA,NA,"< LOD","0.8","34.8",NA,NA,311,"SE","SE3","SE32","SE322",62.04501098,14.89684322,"C22","U120"
45784512,"13-07-18","0-20 cm",3.8,4.57,4.81,"23.4","","1",NA,"< LOD","1.6","77.2",NA,NA,292,"SE","SE3","SE32","SE322",63.62669674,15.16089058,"C21","U120"
45784544,"14-07-18","0-10 cm",3.7,4.32,3.77,"17.4","",NA,NA,"11.5","1.4","44.6",NA,NA,374,"SE","SE3","SE32","SE322",63.91440921,15.21243709,"C22","U120"
45784566,"14-07-18","0-20 cm",3.9,4.75,5.39,"28.4","","1",NA,"34.3","2.7","83.3",NA,NA,441,"SE","SE3","SE32","SE322",64.11223707,15.24855797,"C10","U120"
45784670,"20-07-18","0-20 cm",5.1,5.55,10.74,"33.7","","1",NA,"< LOD","3.4","42.6",NA,NA,717,"SE","SE3","SE33","SE331",65.04771761,15.42727648,"C10","U361"
45784742,"22-07-18","0-20 cm",3.7,4.51,4.36,"12.5","","1",NA,"< LOD","1","26.2",NA,NA,504,"SE","SE3","SE33","SE331",65.69565706,15.55928053,"C10","U420"
45784746,"22-07-18","0-20 cm",4.4,5.04,6.85,"19.4","",NA,NA,"< LOD","1.9","21.2",NA,NA,570,"SE","SE3","SE33","SE331",65.73166117,15.56682608,"C10","U420"
45802088,"13-05-18","0-20 cm",6.8,7.1,43.6,"134.4","","17",NA,"63.9","13.1","438.1",NA,NA,1295,"IT","ITI","ITI4","ITI45",41.84703501,13.10800963,"C10","U120"
45802206,"31-05-18","0-20 cm",7.2,7.68,29.3,"54.2","","105",NA,"10.9","3.6","340",NA,NA,1452,"IT","ITI","ITI3","ITI33",42.91184327,13.1634238,"C10","U420"
45802574,"27-05-18","0-20 cm",5.7,6.35,22,"28.1","","2",NA,"< LOD","2.6","167.4",NA,NA,1047,"IT","ITH","ITH4","ITH42",46.22651532,13.35465272,"C21","U420"
45802578,"27-05-18","0-20 cm",4.7,5.57,56.8,"38.3","","3",NA,"< LOD","3.4","124.7",NA,NA,757,"IT","ITH","ITH4","ITH42",46.26250033,13.3568997,"C10","U120"
45802718,"24-05-18","0-20 cm",3.3,4.09,8.67,"75","","3",NA,"< LOD","4.7","85.8",NA,NA,927,"AT","AT3","AT32","AT323",47.52147178,13.43807033,"C21","U120"
45803232,"12-05-18","0-20 cm",3.5,4.41,3.54,"8.8","","2",NA,"< LOD","0.6","16.3",NA,NA,44,"DE","DE4","DE40","DE406",52.13724179,13.7847558,"C22","U120"
45803340,"06-06-18","0-20 cm",6.6,6.97,15.3,"10.7","","3",NA,"50.2","1.2","158.2",NA,NA,59,"DE","DE4","DE40","DE40I",53.10624833,13.8691301,"B14","U111"
45803988,"05-10-18","0-20 cm",3.7,4.47,6.79,"51.5","","1",NA,"< LOD","2.8","56.3",NA,NA,198,"SE","SE1","SE12","SE124",58.91940419,14.49048689,"C31","U120"
45804726,"22-07-18","0-20 cm",4.8,5.41,10.35,"80.6","","1",NA,"< LOD","3.8","103.4",NA,NA,433,"SE","SE3","SE33","SE331",65.55020984,15.57216531,"C31","U120"
45821634,"08-06-18","0-20 cm",7.5,7.9,17.1,"7.2","","641",NA,"22.6","1.6","300.2",NA,NA,307,"IT","ITG","ITG1","ITG11",37.73845191,12.93979852,"B75","U111"
45821652,"07-06-18","0-20 cm",6.9,7.71,16.26,"9.4","","4",NA,"< LOD","1.1","306.3",0.8,1.9,136,"IT","ITG","ITG1","ITG12",37.9016936,12.94679757,"B82","U111"
45822522,"10-05-18","0-20 cm",7.6,7.97,35.66,"32.3","","158",NA,"34.8","2.6","451.4",NA,NA,44,"IT","ITH","ITH4","ITH42",45.75782481,13.35144439,"B11","U111"
45822558,"09-06-18","0-20 cm",7.3,7.58,38.76,"30.4","","192",NA,"11.8","3","173.5",NA,NA,156,"IT","ITH","ITH4","ITH42",46.08175378,13.37150853,"E30","U112"
45822588,"02-06-18","0-20 cm",7,7.21,44.5,"148.2","","123",NA,"11.7","7.5","45.5",NA,NA,623,"IT","ITH","ITH4","ITH42",46.35164145,13.38846851,"C10","U120"
45822828,"18-06-18","0-20 cm",3.3,4,20.6,"243.9","",NA,NA,"33","12.9","140.4",NA,NA,479,"AT","AT3","AT31","AT311",48.50918011,13.5325144,"C31","U120"
45822832,"21-05-18","0-20 cm",7.3,8.04,11.48,"4.2","","27",NA,"44.7","0.4","45.8",NA,NA,455,"AT","AT3","AT31","AT311",48.54511792,13.53504861,"E30","U111"
45822886,"08-08-18","0-20 cm",3.9,4.81,10.34,"54.8","",NA,NA,"10.5","3.2","130.7",NA,NA,1067,"CZ","CZ0","CZ03","CZ031",49.03021862,13.56971658,"E10","U120"
45822918,"28-06-18","0-20 cm",6.1,6.65,9.94,"18.2","",NA,NA,"37.7","2.1","336",NA,NA,486,"CZ","CZ0","CZ03","CZ032",49.3176354,13.59066927,"B11","U111"
45822958,"07-08-18","0-20 cm",4.7,5.31,16.29,"34.6","","3",NA,"24.1","3","129.3",NA,NA,499,"CZ","CZ0","CZ03","CZ032",49.67685691,13.61729984,"C10","U120"
45823044,"14-08-18","0-20 cm",7.3,7.66,51.4,"28.9","","2",NA,"< LOD","2.8","815.2",NA,NA,10258,"CZ","CZ0","CZ04","CZ042",50.44901193,13.67626924,"B11","U111"
45823278,"24-07-18","10-20 cm",4.5,5.07,8.27,"40.5","",NA,NA,"21.2","2.8","47.2",NA,NA,58,"DE","DE","DE4","DE40",52.54904187,13.84958578,"C32","U120"
45823296,"05-07-18","0-20 cm",3.4,3.88,4.79,"9.8","",NA,NA,"41.5","0.6","15.3",NA,NA,110,"DE","DE4","DE40","DE409",52.71053826,13.86376072,"C32","U120"
45823602,"10-09-18","0-20 cm",6.1,6.43,19.48,"13.8","",NA,NA,"61.7","1.7","153.9",NA,NA,47,"SE","SE2","SE22","SE224",55.45547601,14.12584235,"B13","U111"
45823686,"24-07-18","0-20 cm",3,3.78,13.21,"106.6","","1",NA,"22.1","4.6","75.1",NA,NA,35,"SE","SE2","SE22","SE224",56.20893451,14.20552219,"C21","U120"
45823776,"10-08-18","0-20 cm",3.7,4.3,17.15,"104.6","",NA,NA,"38.6","5.8","57.1",NA,NA,145,"SE","SE2","SE21","SE211",57.01624771,14.29507849,"E10","U111"
45823804,"14-08-18","0-20 cm",3.5,4.32,4.62,"32.2","",NA,NA,"50.8","1.2","36.3",NA,NA,163,"SE","SE2","SE21","SE211",57.26742487,14.3238728,"C22","U120"
45823818,"07-08-18","0-20 cm",3.4,4.18,10.77,"119.3","","1",NA,"16.3","5.3","92.1",NA,NA,188,"SE","SE2","SE21","SE211",57.3930164,14.33844198,"C31","U120"
45823962,"17-10-18","0-20 cm",3.9,4.84,6.28,"39.7","",NA,NA,"23.7","2.5","44.9",NA,NA,179,"SE","SE2","SE23","SE232",58.68496272,14.49531119,"C23","U120"
45824010,"25-07-18","0-20 cm",3.6,4.22,8.17,"61.9","",NA,NA,"13.7","2.8","46",NA,NA,36,"SE","SE1","SE12","SE124",59.11568627,14.55061446,"C31","U120"
45824244,"19-08-18","0-20 cm",2.9,3.91,4.84,"47","","1",NA,"< LOD","1.2","124.2",NA,NA,276,"SE","SE3","SE31","SE312",61.21621508,14.84469934,"C32","U120"
45824484,"11-10-18","0-20 cm",4.7,5.18,9.4,"73.3","","1",NA,"18.5","4","170.5",NA,NA,479,"SE","SE3","SE32","SE322",63.37233424,15.19606748,"C31","U120"
45824658,"19-07-18","0-20 cm",3.7,4.38,4.61,"41.2","","1",NA,"18.5","1.6","60.2",NA,NA,483,"SE","SE3","SE33","SE331",64.93693505,15.4897384,"C33","U120"
45841630,"08-06-18","0-20 cm",7.3,7.98,13.12,"12.2","","11",NA,"< LOD","1.5","272",1,0.7,398,"IT","ITG","ITG1","ITG14",37.701473,12.96074744,"B81","U111"
45842026,"21-05-18","0-20 cm",5.7,6.32,6.26,"9.4","",NA,NA,"27.7","1","38.2",NA,NA,61,"IT","ITI","ITI4","ITI44",41.28564079,13.12745051,"B15","U111"
45842178,"18-07-18","0-20 cm",7.2,7.46,35.7,"59.8","","192",NA,"22.4","4.7","427",NA,NA,1083,"IT","ITI","ITI4","ITI42",42.65774948,13.19863514,"C10","U120"
45842538,"12-06-18","0-20 cm",7.5,7.81,25.19,"38","","114",NA,"18.5","3.3","157.5",NA,NA,72,"IT","ITH","ITH4","ITH42",45.90098584,13.38604234,"B16","U111"
45842658,"12-06-18","0-20 cm",4.6,5.69,8.52,"62.6","","3",NA,"23.1","4.2","97.9",NA,NA,935,"AT","AT2","AT21","AT212",46.98036456,13.45515561,"C21","U120"
45842740,"25-07-18","0-20 cm",5.9,6.41,10.98,"42.6","","5",NA,"< LOD","3.1","97.2",NA,NA,571,"AT","AT3","AT32","AT323",47.7175344,13.50451974,"C31","U120"
