"POINTID","BDfine_0_2","coarse_vol","geometry"
29301690,0.858181871959065,0.089744230769231,c(-5.61891898, 37.00118306)
29302338,0.571552880588813,0.198648076923077,c(-7.095117011, 42.71653714)
29322312,0.414228718945921,0.082246153846154,c(-7.00475849, 42.49263551)
29322442,0.482345568522083,0.018017307692308,c(-7.344123942, 43.63140426)
29342128,1.20386717715331,0.121501923076923,c(-6.529879053, 40.87995431)
29342200,0.951977725002047,0.060692307692308,c(-6.702561032, 41.51326139)
29342206,1.24551330688127,0.072342307692308,c(-6.71716932, 41.56599797)
29342332,1.70344827586207,0.219230769230769,c(-7.03197634, 42.67208198)
29361718,1.11758753870216,0.036030769230769,c(-5.609413709, 37.26068314)
29361938,0.899087809822169,0.206896153846154,c(-6.073698898, 39.20837036)
29381732,1.08016568424407,0.05845,c(-5.615753914, 37.38855887)
29382110,1.31138296090184,0.058680769230769,c(-6.441116348, 40.72931592)
29382188,0.829261849188276,0.187626923076923,c(-6.626633207, 41.41569461)
29382218,1.02266572407417,0.115913461538462,c(-6.699487839, 41.67941715)
29401708,1.23298300938513,0.004767307692308,c(-5.545124698, 37.17929393)
29402144,0.970277140656956,0.071007692307692,c(-6.498023298, 41.03255646)
29402258,0.642085544801748,0.076057692307692,c(-6.774328411, 42.03481527)
29402410,0.459180956004239,0.080025,c(-7.162459091, 43.36781151)
29422254,0.513695565176265,0.154246153846154,c(-6.740804055, 42.00367699)
29461660,0.851803724549541,0.185446153846154,c(-5.383591187, 36.76399804)
29461732,0.924319221495412,0.022188461538462,c(-5.527350292, 37.40324832)
29462254,0.467150635208711,0.152307692307692,c(-6.693554521, 42.01164484)
29482076,0.490952449775979,0.148430769230769,c(-6.246603616, 40.44916511)
29482396,0.273450054833217,0.098665384615385,c(-7.029371581, 43.26152295)
29482428,0.67748451814112,0.054103846153846,c(-7.113207482, 43.54183166)
29502304,0.943009941242415,0.118280769230769,c(-6.770408998, 42.45870065)
29521732,1.1447837189992,0.018015384615385,c(-5.461026443, 37.41421136)
29521930,1.01804462995666,0.041692307692308,c(-5.87495363, 39.16792909)
29541836,0.859763087333871,0.140059615384615,c(-5.652257316, 38.33988267)
29541908,1.05934151744787,0.108498076923077,c(-5.804846388, 38.97714068)
29542262,0.87925710449765,0.1062,c(-6.618666971, 42.09780997)
29542352,0.408988764044944,0.021,c(-6.843972194, 42.887917)
29562218,1.13331203067583,0.06115,c(-6.487854372, 41.71498243)
29581942,1.10805795214065,0.054923076923077,c(-5.832948596, 39.28527693)
29582204,0.813740458015267,0.118269230769231,c(-6.430661544, 41.59576262)
29582266,0.608241132814279,0.155269230769231,c(-6.581153205, 42.14087135)
29582312,1.03949002942138,0.117596153846154,c(-6.695193054, 42.54490141)
