"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
49784208,"FI","FI1","FI1C","FI1C1"
49784244,"FI","FI1","FI1C","FI1C1"
49784290,"FI","FI1","FI19","FI196"
49784340,"FI","FI1","FI19","FI196"
49784370,"FI","FI1","FI19","FI196"
49784460,"FI","FI1","FI19","FI194"
49784574,"FI","FI1","FI19","FI195"
49784578,"FI","FI1","FI19","FI195"
49784610,"FI","FI1","FI1D","FI1D5"
49784970,"FI","FI1","FI1D","FI1D7"
49785064,"FI","FI1","FI1D","FI1D7"
49785262,"FI","FI1","FI1D","FI1D7"
49802596,"HU","HU2","HU23","HU231"
49802926,"SK","SK0","SK03","SK031"
49803016,"PL","PL2","PL21","PL21A"
49803118,"PL","PL2","PL22","PL224"
49803232,"PL","PL7","PL71","PL711"
49803376,"PL","PL9","PL92","PL922"
49803412,"PL","PL6","PL62","PL621"
49803514,"PL","PL6","PL62","PL621"
49804234,"FI","FI1","FI1C","FI1C1"
49804816,"FI","FI1","FI1D","FI1D7"
49804882,"FI","FI1","FI1D","FI1D7"
49805044,"FI","FI1","FI1D","FI1D7"
49805122,"FI","FI1","FI1D","FI1D7"
49822572,"HU","HU2","HU23","HU231"
49822626,"HU","HU2","HU23","HU233"
49822698,"HU","HU2","HU21","HU211"
49822900,"SK","SK0","SK03","SK032"
49823184,"PL","PL7","PL71","PL713"
49823260,"PL","PL7","PL71","PL715"
49823418,"PL","PL6","PL62","PL621"
49824264,"FI","FI1","FI19","FI196"
49824430,"FI","FI1","FI19","FI194"
49824592,"FI","FI1","FI1D","FI1D5"
49825168,"FI","FI1","FI1D","FI1D7"
49841970,"IT","ITF","ITF4","ITF44"
49842892,"SK","SK0","SK03","SK032"
49843032,"PL","PL2","PL21","PL21A"
49843216,"PL","PL7","PL71","PL712"
49843504,"PL","PL6","PL62","PL621"
49844296,"FI","FI1","FI19","FI196"
49844302,"FI","FI1","FI19","FI196"
49844338,"FI","FI1","FI19","FI196"
49844400,"FI","FI1","FI19","FI196"
49844404,"FI","FI1","FI19","FI196"
49844454,"FI","FI1","FI19","FI194"
49844512,"FI","FI1","FI19","FI194"
49844566,"FI","FI1","FI19","FI195"
49844598,"FI","FI1","FI1D","FI1D5"
49845142,"FI","FI1","FI1D","FI1D7"
49862560,"HR","HR0","HR04","HR04B"
49862704,"HU","HU2","HU21","HU211"
49862710,"HU","HU2","HU21","HU211"
49862930,"SK","SK0","SK03","SK031"
49863136,"PL","PL7","PL71","PL713"
49863190,"PL","PL7","PL71","PL713"
49863208,"PL","PL7","PL71","PL713"
49863322,"PL","PL9","PL92","PL923"
49864226,"FI","FI1","FI1C","FI1C1"
49864414,"FI","FI1","FI19","FI196"
49864448,"FI","FI1","FI19","FI194"
49864510,"FI","FI1","FI19","FI194"
49864960,"FI","FI1","FI1D","FI1D7"
49865206,"FI","FI1","FI1D","FI1D7"
49882564,"HU","HU2","HU23","HU231"
49882592,"HU","HU2","HU23","HU231"
49882700,"HU","HU2","HU21","HU211"
49882816,"SK","SK0","SK02","SK023"
49882888,"SK","SK0","SK03","SK032"
49882996,"PL","PL2","PL22","PL225"
49883162,"PL","PL7","PL71","PL713"
49883222,"PL","PL7","PL71","PL712"
49883234,"PL","PL7","PL71","PL712"
49883266,"PL","PL7","PL71","PL715"
49883342,"PL","PL9","PL92","PL923"
49883468,"PL","PL6","PL62","PL622"
49883510,"PL","PL6","PL62","PL621"
49884346,"FI","FI1","FI19","FI196"
49884422,"FI","FI1","FI19","FI194"
49884544,"FI","FI1","FI19","FI194"
49884814,"FI","FI1","FI1D","FI1D7"
49884818,"FI","FI1","FI1D","FI1D7"
49884842,"FI","FI1","FI1D","FI1D7"
49902530,"HR","HR0","HR04","HR04B"
49902614,"HU","HU2","HU23","HU233"
49903118,"PL","PL2","PL22","PL224"
49903298,"PL","PL9","PL92","PL923"
49904272,"FI","FI1","FI19","FI196"
49904342,"FI","FI1","FI19","FI196"
49904446,"FI","FI1","FI19","FI194"
49921952,"IT","ITF","ITF4","ITF45"
49921970,"IT","ITF","ITF4","ITF44"
49922582,"HU","HU2","HU23","HU231"
49922626,"HU","HU2","HU23","HU233"
49922748,"HU","HU1","HU12","HU120"
49922896,"SK","SK0","SK03","SK032"
49923050,"PL","PL2","PL21","PL21A"
49923216,"PL","PL7","PL71","PL712"
49923248,"PL","PL7","PL71","PL712"
49923310,"PL","PL9","PL92","PL923"
49923342,"PL","PL9","PL92","PL923"
49923464,"PL","PL6","PL62","PL622"
