"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
41942498,"Yes",NA,NA,NA,NA,1,300,4.3,4.8,20.6,27.1,1,14.7,2.7,90.6,"C10","U120","IT","ITC","ITC1","ITC12"
41942506,"Yes",28,23,26,51,1,557,4.2,4.37,36.4,19.9,0,14.5,2.4,59,"E20","U111","IT","ITC","ITC1","ITC15"
41942560,"Yes",26,12,38,50,1,714,3.9,4.02,27.2,75.9,1,24.1,4.4,62.9,"C23","U120","IT","ITC","ITC1","ITC14"
41942740,"Yes",NA,NA,NA,NA,3,157,5.3,5.58,12.58,38.4,0,21.1,4.3,146.2,"E20","U111","DE","DE1","DE13","DE13A"
41943172,"Yes",NA,NA,NA,NA,1,356,6.1,6.51,18.29,10.5,1,43.6,1.4,354.4,"B13","U111","DE","DEA","DEA5","DEA5B"
41943250,"Yes",NA,NA,NA,NA,1,212,3.6,4.18,70.7,162.8,0,57.9,8,107.5,"C32","U120","DE","DE9","DE94","DE94E"
41961776,"Yes",6,36,29,35,1,280,7.3,7.67,51.3,17.1,86,49.8,1.6,1502.4,"B43","U111","IT","ITG","ITG2","ITG2C"
41962532,"Yes",42,8,45,47,1,222,4.4,4.53,84.3,69.6,0,86.1,6.3,180.8,"B73","U113","IT","ITC","ITC1","ITC14"
41962754,"Yes",NA,NA,NA,NA,1,365,6.8,7.13,26.2,32,4,74.7,3.7,296.6,"B55","U111","DE","DE1","DE13","DE132"
41962892,"Yes",NA,NA,NA,NA,1,147,6.5,6.84,20.4,8.1,1,70.1,1,206.5,"B16","U111","DE","DEB","DEB3","DEB3E"
41962952,"Yes",NA,NA,NA,NA,1,342,7.5,7.96,21.3,12.5,207,28.4,1.4,377.2,"B13","U111","DE","DEB","DEB3","DEB3B"
41962970,"Yes",NA,NA,NA,NA,1,6,7.5,7.8,26.4,20.8,78,76.1,2.1,1073.9,"B82","U111","DE","DEB","DEB3","DEB3J"
41962982,"Yes",NA,NA,NA,NA,2,648,7.3,7.64,21.1,14.3,1,54.1,1.6,554.3,"B13","U111","DE","DEB","DEB3","DEB35"
41963126,"Yes",NA,NA,NA,NA,1,140,5.9,6.02,27.2,17.8,0,84.9,2.4,202.4,"B16","U111","DE","DEA","DEA5","DEA57"
41963150,"Yes",NA,NA,NA,NA,1,66,3.4,3.64,30.1,81.8,0,46.7,4.9,64.5,"E10","U120","DE","DEA","DEA5","DEA5B"
41963186,"Yes",NA,NA,NA,NA,1,62,4.8,5.16,46.6,16.3,1,55.3,2.1,377.8,"B18","U111","DE","DEA","DEA3","DEA38"
41963216,"Yes",NA,NA,NA,NA,1,16,5.6,6.03,16.14,18.2,1,119,1.5,135.1,"B16","U111","DE","DEA","DEA4","DEA42"
41963222,"Yes",NA,NA,NA,NA,1,19,6.2,6.49,12.36,11,1,54.4,1.1,94.1,"B16","U111","DE","DE9","DE94","DE94E"
41963276,"Yes",NA,NA,NA,NA,1,83,5,5.36,24.7,14.2,0,74.8,1.3,140,"E10","U120","DE","DE9","DE94","DE94F"
41963360,"Yes",NA,NA,NA,NA,1,42,5.9,6.07,58.3,60.8,0,129.1,3.7,215,"B18","U111","DE","DE9","DE94","DE94A"
41981900,"Yes",NA,NA,NA,NA,1,41,5.7,6.14,23.6,27.7,0,15.7,2.6,368.6,"B81","U111","IT","ITG","ITG2","ITG28"
41981944,"Yes",NA,NA,NA,NA,1,140,5.7,5.9,14.99,26.5,1,4.6,2.4,264.5,"E20","U111","IT","ITG","ITG2","ITG25"
41982368,"Yes",3,26,14,60,1,35,3.8,3.91,31.9,46.4,0,8.5,3.7,100.7,"C10","U120","IT","ITC","ITC3","ITC32"
41982386,"Yes",6,27,20,53,1,101,6.7,7.14,54.8,23.7,18,12.7,2.3,161.2,"C10","U120","IT","ITC","ITC1","ITC18"
41982398,"Yes",NA,NA,NA,NA,1,169,7.2,7.32,46.5,37.9,60,17.3,4.1,255.6,"E20","U111","IT","ITC","ITC1","ITC18"
41982480,"Yes",NA,NA,NA,NA,1,70,4.7,4.94,62.4,16,0,22.9,2,167.2,"B17","U111","IT","ITC","ITC1","ITC15"
41982542,"Yes",2,6,44,50,1,45,5.8,6.02,23.3,13.2,1,4.3,1.6,37.8,"C10","U120","IT","ITC","ITC1","ITC14"
41982722,"Yes",NA,NA,NA,NA,1,14,7,7.21,23.7,40.2,23,34,4.4,513.2,"E20","U111","DE","DE1","DE13","DE13A"
41982974,"Yes",NA,NA,NA,NA,1,213,7.5,7.79,21.7,14.9,21,10.8,1.8,372.8,"B22","U111","DE","DEB","DEB3","DEB3J"
41983118,"Yes",NA,NA,NA,NA,1,152,5.5,5.49,83.7,39.9,1,38.7,5,515,"E20","U111","DE","DEA","DEA5","DEA57"
41983298,"Yes",NA,NA,NA,NA,1,48,5,5.19,30,20.9,0,120.9,1.9,105.7,"B11","U111","DE","DE9","DE94","DE948"
42001776,"Yes",NA,NA,NA,NA,2,111,7.5,7.99,20.9,24.5,275,9.4,1.9,334.3,"C10","U111","IT","ITG","ITG2","ITG2C"
42001798,"Yes",NA,NA,NA,NA,1,198,6.9,7.26,23.4,16.8,4,21.5,1.8,177.8,"E20","U111","IT","ITG","ITG2","ITG2C"
42001852,"Yes",NA,NA,NA,NA,1,204,6.2,6.44,23.7,7.4,0,74.3,1,151.3,"B53","U111","IT","ITG","ITG2","ITG28"
42001870,"Yes",NA,NA,NA,NA,1,53,6.2,6.51,9.9,16.2,0,35.7,1.7,145.2,"B12","U111","IT","ITG","ITG2","ITG28"
42001906,"Yes",3,30,18,52,1,69,5.8,6.23,15.6,21.8,1,57.4,2.4,543.7,"E30","U111","IT","ITG","ITG2","ITG28"
42002438,"Yes",NA,NA,NA,NA,1,69,6.4,6.63,11.53,12.9,2,34.3,1.5,80.8,"E30","U112","IT","ITC","ITC1","ITC18"
42002460,"Yes",NA,NA,NA,NA,1,36,5.9,6.14,23.2,12.3,0,12.2,1.4,152.9,"B17","U111","IT","ITC","ITC1","ITC12"
42002468,"Yes",NA,NA,NA,NA,1,51,6.8,7.05,46.1,14.7,7,15.9,1.7,99.8,"B17","U111","IT","ITC","ITC1","ITC12"
