"POINTID","Elevation","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3","LC0_Desc.x","Revisited_point","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
32421926,1050,NA,NA,NA,NA,2,7.5,7.55,241,13.4,207,9.9,1.5,183.4,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",1.151,1.175,NA,1.163,1.163,0.08,1.10966908127772,0.035784615384615
32421998,1056,NA,NA,NA,NA,4,7.4,7.48,173.4,24.8,373,40.1,1.4,343.9,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",1.307,1.394,NA,1.35,1.3505,0.09,1.28922373010605,0.046748076923077
32422100,1039,42,26,9,65,4,3.9,4.7,2.39,1.2,0,0,0.4,141.7,"D10","U420","ES","ES4","ES42","ES424","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32422106,1105,38,13,43,44,1,4.6,5.12,6.86,38.3,0,0,2.5,81.4,"C22","U120","ES","ES4","ES42","ES424","Woodland","No",0.973,1.071,NA,1.022,1.022,0.38,0.744906042574741,0.149369230769231
32422114,1130,38,19,34,46,2,7.3,7.84,12.34,18.7,673,4.8,2.2,298.9,"D20","U111","ES","ES4","ES42","ES424","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32422124,1138,38,30,35,35,3,7.7,8.03,17.65,10.5,389,25.1,1.3,225.6,"F40","U112","ES","ES4","ES41","ES417","Bareland","No",1.107,1.217,NA,1.162,1.162,0.38,0.867823057393302,0.169830769230769
32422142,1007,13,4,83,12,4,6.3,6.55,4.22,7.5,1,0,0.5,27,"D10","U120","ES","ES4","ES41","ES417","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32422186,1199,4,10,50,41,3,6.4,6.59,64.6,27.5,0,40.4,3.1,57.3,"C10","U420","ES","ES4","ES41","ES412","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
32422190,1394,8,11,55,34,1,5.6,5.79,46.8,23.3,1,66.6,2.6,185.6,"E20","U111","ES","ES4","ES41","ES412","Grassland","No",1.072,1.179,NA,1.126,1.1255,0.08,1.07260514111779,0.034630769230769
32422226,1332,46,18,38,43,1,4.5,5.12,6.04,30,1,8.3,2.4,125.9,"E10","U318","ES","ES4","ES41","ES412","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32422232,1376,31,7,69,25,2,5,5.45,6.44,40.2,0,0,1.8,88.2,"C10","U420","ES","ES4","ES41","ES412","Woodland","No",1.127,0.949,NA,1.038,1.038,0.31,0.817380235446972,0.123761538461538
32422330,1351,NA,NA,NA,NA,1,4.9,5.22,60.8,34.3,0,70.2,3.9,80.8,"E20","U111","ES","ES2","ES21","ES213","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32423468,1162,NA,NA,NA,NA,1,3.8,5,47.3,143.7,0,42.8,7.5,273.3,"D20","U362","IE","IE0","IE06","IE061","Shrubland","No",0.244,0.609,NA,0.426,0.4265,0.19,0.356578594779999,0.031167307692308
32423558,1260,29,16,23,61,4,5.3,5.45,120.4,73.8,0,112.9,7.4,475.6,"E20","U111","IE","IE0","IE04","IE041","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441714,1258,17,15,39,46,3,7.2,7.6,27.4,64.7,574,9.6,3.5,245.1,"C22","U420","ES","ES6","ES61","ES611","Woodland","No",1.269,1.279,NA,1.274,1.274,0.17,1.15350714519472,0.0833
32441724,1190,46,18,43,39,1,7.4,7.85,18.09,35.8,650,10.9,2.8,204.2,"D20","U420","ES","ES6","ES61","ES611","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441738,1063,20,17,52,31,3,7.6,8.02,18.34,13,603,9.3,1.8,105.6,"F40","U111","ES","ES6","ES62","ES620","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441760,1106,19,12,56,33,4,7.4,7.87,17,27.4,588,6.2,1.8,86.2,"C22","U120","ES","ES4","ES42","ES421","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441768,1041,11,15,27,58,4,7.6,7.87,19.6,87.3,376,0,4.1,88.9,"D20","U420","ES","ES4","ES42","ES421","Shrubland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441828,1009,29,25,18,57,2,7.1,7.37,17.92,93.6,86,9.2,5.5,619.4,"C33","U420","ES","ES4","ES42","ES421","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441900,1027,NA,NA,NA,NA,3,7.7,8.16,12.83,1.4,73,13.3,0.3,255,"B82","U111","ES","ES4","ES42","ES423","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441948,1024,NA,NA,NA,NA,2,7.6,7.69,123.4,20.9,281,24.2,1.2,374.3,"B13","U111","ES","ES4","ES42","ES423","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32441984,997,NA,NA,NA,NA,3,7.5,7.52,222,15.4,422,11.8,1.2,398.2,"B31","U111","ES","ES4","ES42","ES423","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32442092,1012,13,11,44,45,4,5.1,5.31,41,39.2,0,23.5,3.7,184.5,"C10","U420","ES","ES4","ES42","ES424","Woodland","No",0.842,0.766,NA,0.804,0.804,0.13,0.728776828505939,0.0402
32442102,1070,13,29,22,48,1,6.6,6.82,8.09,9.7,0,35.1,1.2,206.4,"B11","U111","ES","ES4","ES42","ES424","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
32442110,1011,21,16,53,31,1,5.2,5.68,4.93,7.1,0,6.3,0.9,110.7,"B12","U111","ES","ES4","ES42","ES424","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
