"SURVEY_DATE","POINTID_2018","Elev","Depth","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","OC..20.30.cm.","CaCO3_2018","CaCO3..20.30.cm.","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","TH_LAT","TH_LONG","LC_2018","LU_2018","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
"18-05-18",40562532,1121,"0-20 cm",28,25,19,56,1,5.3,5.84,36.14,"37.9","",NA,NA,"17.1","5.1","134.4",NA,NA,"FR","FRK","FRK2","FRK28",45.84617559,6.591627118,"E20","U111",0.93,0.968,NA,0.949,0.949,0.28,0.761060369792827,0.1022
"26-06-18",40562558,554,"0-20 cm",45,30,13,58,2,7,7.21,26.7,"54","","93",NA,"< LOD","5.6","245.5",NA,NA,"FR","FRK","FRK2","FRK28",46.080109,6.576883719,"C10","U111",NA,NA,NA,NA,NA,NA,NA,NA
"25-06-18",40562852,328,"0-20 cm",NA,NA,NA,NA,1,7.2,7.91,12.8,"25.9","","60",NA,"31.7","3","432",NA,NA,"FR","FRF","FRF3","FRF31",48.72305328,6.397915485,"B11","U111",1.168,NA,NA,NA,1.168,0.2,1.02663962136579,0.089846153846154
"24-05-18",40562870,265,"0-20 cm",NA,NA,NA,NA,1,6.7,7.31,17.67,"26.7","","3",NA,"36.5","3.1","244.2",NA,NA,"FR","FRF","FRF3","FRF33",48.88474551,6.386173015,"B32","U111",1.04,1.246,NA,1.143,1.143,0.06,1.10352766431489,0.026376923076923
"04-06-18",40563068,468,"10-20 cm",NA,NA,NA,NA,1,3,3.56,21.3,"168.2","",NA,NA,"27.8","7.6","108.1",NA,NA,"DE","DE","DEA","DEA2",50.66263194,6.250331825,"C21","U120",NA,NA,NA,NA,NA,NA,NA,NA
"24-05-18",40563266,0,"0-20 cm",NA,NA,NA,NA,1,7.1,7.24,43.5,"24.6","","35",NA,"63.8","3","343.8",0.6,3,"NL","NL2","NL22","NL221",52.43946429,6.101043702,"B16","U111",1.448,1.458,NA,1.453,1.453,0.03,1.43344220997414,0.016765384615385
"26-05-18",40563284,0,"0-20 cm",NA,NA,NA,NA,1,5.7,6.16,25.8,"51.9","","1",NA,"42.8","5.4","93.4",NA,NA,"NL","NL2","NL21","NL211",52.60095605,6.086738866,"E20","U313",0.773,1.161,NA,0.967,0.967,0.02,0.954761960118729,0.007438461538462
"22-06-18",40582782,452,"0-20 cm",NA,NA,NA,NA,1,5.5,5.89,7.82,"27","",NA,NA,"16.4","2.7","242.1",NA,NA,"FR","FRF","FRF3","FRF34",48.09499291,6.469489449,"E20","U111",1.278,1.236,NA,1.257,1.257,0.05,1.22373135210768,0.024173076923077
"18-07-18",40602576,1069,"0-20 cm",21,21,24,55,1,5.4,5.84,11.82,"59.7","","3",NA,"< LOD","4.2","83",NA,NA,"FR","FRK","FRK2","FRK28",46.24369207,6.618341935,"C21","U120",NA,NA,NA,NA,NA,NA,NA,NA
"25-05-18",40602678,791,"0-20 cm",NA,NA,NA,NA,1,5.5,5.95,11.67,"39.6","",NA,NA,"33.9","4.4","236.1",NA,NA,"FR","FRC","FRC2","FRC21",47.16102963,6.559300807,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"23-07-18",40602702,485,"0-20 cm",NA,NA,NA,NA,1,5.5,6.04,14.1,"40.4","","1",NA,"11.1","3.1","192",NA,NA,"FR","FRC","FRC2","FRC21",47.37680036,6.545020118,"C21","U120",0.967,1.124,NA,1.045,1.0455,0.07,1.00047648917709,0.028148076923077
"31-07-18",40602750,494,"0-20 cm",NA,NA,NA,NA,1,4.6,4.35,6.19,"38.7","",NA,NA,"< LOD","2.3","89.2",NA,NA,"FR","FRC","FRC2","FRC23",47.80826326,6.515998202,"C10","U120",0.681,0.846,NA,0.763,0.7635,0.35,0.553124497647651,0.102778846153846
"16-07-18",40602864,324,"0-20 cm",NA,NA,NA,NA,2,4.6,5.04,27.7,"35.6","",NA,NA,"20.8","3.7","227.9",NA,NA,"FR","FRF","FRF3","FRF33",48.8325982,6.444510733,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"20-06-18",40602894,329,"0-20 cm",NA,NA,NA,NA,1,7.2,7.97,15.32,"24.1","","53",NA,"30.5","2.4","648.7",0.7,2.1,"FR","FRF","FRF3","FRF33",49.10207622,6.425074148,"B11","U111",1.018,1.001,NA,1.01,1.0095,0.14,0.918074406081337,0.054357692307692
"03-07-18",40602930,385,"0-20 cm",NA,NA,NA,NA,1,7.1,7.63,13.89,"29.1","","20",NA,"28","2.7","449.8",NA,NA,"FR","FRF","FRF3","FRF33",49.4254075,6.401393353,"B13","U111",NA,NA,NA,NA,NA,NA,NA,NA
"12-07-18",40603038,691,"0-20 cm",NA,NA,NA,NA,1,4.3,4.77,22.6,"96.8","","1",NA,"13.2","7.4","82.1",NA,NA,"BE","BE3","BE33","BE336",50.39514774,6.327922884,"H11","U420",NA,NA,NA,NA,NA,NA,NA,NA
"18-07-18",40622592,674,"0-20 cm",48,9,46,45,1,7.1,7.55,33,"72.8","","321",NA,"< LOD","4.8","65.7",NA,NA,"FR","FRK","FRK2","FRK28",46.38844129,6.635205108,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"31-07-18",40622664,815,"0-20 cm",NA,NA,NA,NA,1,6.9,7.33,37.77,"66.2","","430",NA,"36.4","7","117.1",NA,NA,"FR","FRC","FRC2","FRC21",47.03598089,6.593831182,"E20","U111",0.745,0.868,NA,0.806,0.8065,0.18,0.700438726917954,0.055834615384615
"24-07-18",40622800,374,"0-20 cm",NA,NA,NA,NA,1,5.3,5.8,7.8,"31.9","",NA,NA,"19.3","3.5","195.7",NA,NA,"FR","FRF","FRF3","FRF34",48.25845076,6.511995358,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"18-06-18",40622812,428,"0-20 cm",NA,NA,NA,NA,1,7.2,7.55,20.44,"26.3","","5",NA,"24.4","3.2","368.8",1.6,6.5,"FR","FRF","FRF3","FRF34",48.36627774,6.504532265,"B16","U111",NA,NA,NA,NA,NA,NA,NA,NA
"20-06-18",40622890,320,"0-20 cm",NA,NA,NA,NA,1,7.2,7.76,12.23,"21.6","","22",NA,"27","1.8","359.3",NA,NA,"FR","FRF","FRF3","FRF33",49.06701685,6.45501717,"B13","U111",NA,NA,NA,NA,NA,NA,NA,NA
