"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
53783916,109,"1",6.6,7.32,12.61,19.9,7,84.7,1.9,122.4,NA,NA,"B","B11","U111",1.419,0.22,c(27.65942108, 57.16436896)
53801920,221,"1",7.5,8.27,11.86,16.5,27,12.7,1.7,332.6,NA,NA,"B","B12","U111",0.943,0.26,c(22.32066133, 39.5972591)
53802834,433,"1",4.4,5.28,13.96,23.4,NA,NA,2.7,96.1,NA,NA,"E","E10","U111",1.075,0,c(24.20050883, 47.70025819)
53821642,248,"1",7.3,8.06,12.68,13.2,50,25.1,1.4,259.2,NA,NA,"B","B81","U111",1.251,0.14,c(21.89279877, 37.10825796)
53842010,219,"1",7.6,8.38,10.38,8,127,NA,1,191.7,NA,NA,"B","B81","U111",0.984,0.07,c(22.52321388, 40.39391631)
53842226,707,"1",6,6.83,5.17,15.5,NA,25.5,1.7,328.1,NA,NA,"B","B11","U111",1.411,0,c(22.92230162, 42.31558937)
53842676,325,"1",7.4,7.74,21.45,19,141,NA,2.4,437.3,1.2,2,"B","B52","U111",1.297,0.57,c(23.8738921, 46.30016876)
53861912,153,"1",6.1,6.86,7.48,16.8,1,22.4,1.7,456.1,NA,NA,"B","B12","U111",0.926,0.1,c(22.37578888, 39.51707681)
53862246,662,"1",6.2,6.78,8.86,19.2,NA,24.9,1.9,366.9,NA,NA,"B","B41","U111",1.2215,0,c(22.98498348, 42.49011584)
53881902,241,"1",7.8,8.35,54.2,15.4,299,NA,1.6,424.6,1.2,2.2,"B","B12","U111",0.8655,0.29,c(22.38161495, 39.42489926)
53882194,1038,"1",4.4,5.06,5.98,22,NA,NA,1.7,92.9,NA,NA,"C","C33","U120",1.2575,0.11,c(22.90863694, 42.0251259)
53882234,687,"1",5.5,5.85,9.2,31.3,1,7.7,3,507.7,NA,NA,"D","D10","U420",1.339,0.07,c(22.98562875, 42.38045135)
53882276,747,"1",5.1,5.82,6.44,32.1,NA,14.9,2.8,404.8,NA,NA,"E","E20","U111",1.0505,0.82,c(23.06779872, 42.75332288)
53882288,609,"1",7.1,7.49,15.36,43.5,28,6.3,4.1,723.4,NA,NA,"E","E10","U111",1.023,0,c(23.09153012, 42.85981641)
53902178,1188,"2",5.2,5.65,6.91,32.2,NA,NA,2,180,NA,NA,"C","C22","U120",1.0995,0,c(22.90193123, 41.87986149)
53902268,898,"1",5.7,6.18,9.9,35.9,1,10.6,2.8,778.4,NA,NA,"E","E10","U420",1.0885,0.29,c(23.07609619, 42.67919272)
53902362,207,"1",4.4,5.42,3.86,12.3,NA,12.9,1.1,139.5,NA,NA,"B","B11","U111",1.3235,0,c(23.26481357, 43.51294869)
53902686,472,"1",5.1,5.57,10.11,74.2,1,NA,6.2,370.5,NA,NA,"E","E20","U111",0.9505,0.25,c(23.97396754, 46.37833964)
53902728,396,"1",6.1,6.55,8.52,36.1,NA,12.6,3.3,301.3,NA,NA,"B","B43","U113",1.063,0.07,c(24.0731661, 46.74884189)
53902836,492,"1",4.9,5.82,9.7,28.6,NA,NA,3.6,201.3,NA,NA,"B","B75","U111",1.0135,0.15,c(24.33665226, 47.70058578)
53903832,174,"1",6.5,6.64,138.4,275,NA,34.3,21.7,179.6,NA,NA,"C","C10","U120",0.349,0.08,c(27.5048732, 56.40953637)
53921658,119,"1",6.2,6.57,8.35,18.1,NA,NA,1.9,239.7,0.5,1.9,"B","B81","U111",1.1005,0.16,c(22.02839687, 37.2375057)
53921892,182,"1",7.7,8.33,16.5,10.5,19,NA,1.1,254.5,NA,NA,"B","B34","U111",1.0585,0.21,c(22.41029223, 39.32977077)
53922084,131,"1",6.7,6.99,16.38,8.3,NA,29.8,1,212,NA,NA,"B","B54","U111",1.29,0.23,c(22.74994725, 41.04085062)
53923834,160,"1",5.7,6.26,8.29,18.1,NA,16.4,2,36.3,NA,NA,"E","E20","U111",1.199,0.12,c(27.54447446, 56.4225345)
53941710,1279,"1",6.2,6.82,4.24,11.3,NA,15.4,1.2,89.5,NA,NA,"C","C21","U120",0.828,0.33,c(22.13272432, 37.70026192)
53942344,244,"1",4.6,5.68,4.58,16.8,NA,NA,1.5,168,NA,NA,"B","B16","U111",1.201,0.01,c(23.27675357, 43.34703022)
53943854,152,"2",5.8,6,119.8,404.7,NA,17.1,25.5,127.1,NA,NA,"C","C31","U120",0.229,0.13,c(27.65755373, 56.59162562)
53981902,272,"1",7.5,8.22,13.26,15.5,171,NA,1.6,384,NA,NA,"B","B13","U111",0.931,0.03,c(22.49599697, 39.41014302)
53982330,479,"1",5.6,6.17,9.33,46.5,NA,18.1,4.7,242.6,NA,NA,"C","C10","U120",1.084,0.11,c(23.29682496, 43.21655159)
53982496,182,"1",5.8,6.53,15.09,14.9,NA,27.3,1.5,224.8,NA,NA,"B","B11","U111",1.261,0,c(23.64605903, 44.68650934)
53982784,344,"1",4.8,5.56,5.52,20.4,NA,NA,2.2,304.1,NA,NA,"D","D20","U111",1.2065,0,c(24.3122664, 47.22871)
54001706,1092,"1",7.2,7.74,14.35,27.2,11,NA,2.3,205.8,NA,NA,"C","C21","U120",0.959,0.36,c(22.19326443, 37.65584062)
54001904,360,"1",7.5,8.26,15.74,15.9,369,NA,2,355.9,0.6,0.7,"B","B41","U111",0.8125,0.01,c(22.52231594, 39.42501865)
54002350,261,"1",5.8,6.68,4.55,18.7,NA,13,1.8,332.2,NA,NA,"A","A30","U319",1.287,0.27,c(23.36199203, 43.39064038)
54002768,357,"1",5.1,6.07,10.52,16.1,NA,NA,1.8,159.7,NA,NA,"E","E20","U111",1.243,0.01,c(24.29900111, 47.08428672)
54003836,0,"1",6.7,7.08,11.92,21.4,4,18.7,2.1,49.2,NA,NA,"E","E30","U420",1.2685,0.03,c(27.67863955, 56.42237894)
54022304,645,"1",5.3,5.87,6.58,26.3,NA,6.1,2.6,152.7,NA,NA,"E","E10","U420",1.4955,0.22,c(23.29255928, 42.97965173)
54042470,86,"1",7.1,7.64,26.77,24.8,7,32.5,2.6,381.3,NA,NA,"B","B31","U111",0.919,0.53,c(23.66406166, 44.44668245)
54042624,522,"2",4.7,5.31,6.55,44.4,1,NA,3.6,130.7,NA,NA,"E","E20","U111",1.0645,0.01,c(24.00820227, 45.80752757)
54062392,154,"1",7.6,8.2,17.35,19.3,26,NA,1.7,175,NA,NA,"B","B16","U111",1.387,0,c(23.52240586, 43.75305355)
54081756,1045,"1",7,7.36,10.19,15.7,3,NA,1.6,133.8,NA,NA,"E","E30","U415",0.9125,0.17,c(22.36383148, 38.09147214)
54082440,152,"1",4.9,5.74,12.51,18.7,NA,49.2,1.7,205,NA,NA,"F","F40","U111",1.211,0.24,c(23.64882599, 44.17469793)
54101896,288,"1",7.4,8.25,11.06,10.7,15,NA,1.1,124.6,NA,NA,"F","F40","U111",0.967,0.22,c(22.62277777, 39.33873979)
54102054,483,"1",6.3,6.63,5.22,14.8,NA,NA,1.3,127.6,NA,NA,"E","E10","U111",1.1065,0.25,c(22.90524072, 40.74640069)
54102076,264,"1",5.3,6.18,4.64,9.1,NA,18,0.9,129.7,NA,NA,"B","B11","U111",0.7285,0.36,c(22.94595116, 40.94213502)
54102148,963,"1",4.9,5.88,3.99,11.7,NA,NA,1.1,171.4,NA,NA,"C","C10","U120",1.2645,0,c(23.08164919, 41.58226783)
54121890,388,"1",6.5,6.58,6.87,19.2,NA,NA,2,209,NA,NA,"E","E30","U111",1.0725,0.17,c(22.63520779, 39.28222262)
54121894,287,"1",7.5,8.21,12.57,17.7,83,28.1,1.7,616.2,NA,NA,"B","B12","U111",0.874,0.2,c(22.64214658, 39.31790342)
54122326,1052,"1",6,6.48,12.61,56.6,NA,NA,4.7,219.9,NA,NA,"C","C10","U120",0.8595,0.13,c(23.4583617, 43.15867418)
54122350,246,"1",6.4,7.04,6.59,14.3,NA,11.3,1.2,187.9,NA,NA,"B","B11","U111",1.3635,0.01,c(23.50791765, 43.37133002)
54122394,146,"1",7.4,7.87,22.5,23.9,6,11.7,2.3,260.8,NA,NA,"B","B11","U111",1.2505,0,c(23.60002822, 43.76100749)
54123840,167,"1",5.1,5.59,8.79,12.3,NA,NA,1.3,87.5,NA,NA,"E","E10","U120",1.5595,0.04,c(27.88402663, 56.43054468)
54161884,161,"1",7.7,8.34,14.45,15,56,NA,1.4,461.4,NA,NA,"B","B41","U111",1.3165,0.32,c(22.67042672, 39.2226989)
54162628,419,"1",5.9,6.41,9.26,24.3,NA,NA,2.4,292,NA,NA,"E","E30","U420",1.263,0,c(24.16953611, 45.82245001)
54182062,192,"1",6.8,7.04,8.94,11.6,1,13,1.2,268.8,NA,NA,"B","B12","U111",1.006,0.16,c(23.01340261, 40.8052386)
54201736,1031,"2",7.2,7.8,19.05,53.2,320,NA,4.1,381.2,NA,NA,"E","E10","U420",0.8765,0.42,c(22.46535572, 37.89504983)
54201884,135,"1",7.1,7.61,8.79,7,1,17.8,0.8,172.9,NA,NA,"B","B11","U111",1.6085,0.12,c(22.71602688, 39.21667912)
54201920,81,"2",7.8,8.63,19.71,16,92,24.9,1.8,357.1,0.6,2.9,"B","B12","U111",0.9235,0.26,c(22.77914423, 39.53768749)
54202132,109,"1",6.8,7.29,11.55,9,NA,NA,1.1,133.2,NA,NA,"E","E30","U111",1.2355,0,c(23.16902839, 41.42444942)
54203812,105,"1",6.2,6.52,32.2,322.5,1,NA,12,63.8,NA,NA,"D","D20","U420",0.5485,0.15,c(27.89446918, 56.1702122)
54203844,127,"1",5.1,5.89,7.93,16.1,NA,30.8,1.5,57.3,NA,NA,"B","B32","U111",1.451,0.15,c(28.02655893, 56.44734817)
54221858,920,"1",5.9,6.68,5.87,10.4,NA,NA,1.3,120.7,NA,NA,"E","E20","U111",0.8675,0.17,c(22.69369494, 38.98172102)
54222134,112,"1",6,6.6,10.53,5.8,NA,10.9,0.8,114.7,NA,NA,"B","B31","U111",1.4425,0,c(23.19643434, 41.43907707)
54222278,556,"1",6.1,6.65,10.39,15,NA,53.3,1.6,330.7,0.9,1.5,"B","B11","U111",1.2775,0.54,c(23.48096119, 42.71709238)
54241650,423,"1",6.5,6.89,6.84,11.1,1,NA,1,74.2,NA,NA,"B","B81","U111",1.003,0.17,c(22.3701846, 37.11979405)
54262422,80,"1",6.7,7.15,20.74,22.4,NA,13.3,2.2,281.7,NA,NA,"B","B11","U111",1.046,0,c(23.83144161, 43.98577173)
54262530,300,"1",4.9,5.96,9.82,11.3,NA,18.2,1.4,290.7,0.7,1.2,"B","B16","U111",1.2805,0.35,c(24.07015098, 44.94037128)
54263840,115,"1",6,6.31,90.9,237.6,NA,31.9,18.3,95.1,NA,NA,"D","D10","U420",0.438,0.01,c(28.10427635, 56.39926312)
54281680,1103,"1",7.3,7.94,16.59,26.2,132,37.6,2.7,270.5,NA,NA,"E","E30","U111",0.178,0.25,c(22.46290477, 37.38242109)
54282012,71,"2",7.7,8.37,17.72,10.3,66,17.9,0.8,341,NA,NA,"B","B82","U111",1.1325,0.11,c(23.03716634, 40.34487027)
54282408,49,"1",6.5,6.85,8.11,17.2,NA,5.1,1.7,182.9,NA,NA,"F","F40","U111",1.175,0.2,c(23.82576589, 43.85860514)
54301732,498,"1",7.4,8.03,15.8,22,22,NA,1.8,282.2,NA,NA,"B","B81","U111",0.8725,0.23,c(22.57054714, 37.8444959)
54301746,802,"1",7.7,8.21,19.61,13.7,259,NA,1.5,240.6,NA,NA,"B","B82","U111",1.0175,0.27,c(22.59383189, 37.9696259)
54302142,185,"1",7,7.46,7.98,5.8,1,NA,0.7,151,NA,NA,"E","E20","U111",1.4955,0.01,c(23.30619693, 41.49750562)
54302620,387,"1",6,6.5,7.29,16.2,1,NA,1.8,247.3,NA,NA,"E","E20","U111",1.3905,0,c(24.32798628, 45.72784288)
54341736,550,"2",7.5,7.94,40,21.8,514,NA,1.9,174.1,NA,NA,"B","B81","U111",0.686,0.33,c(22.62190853, 37.87429371)
54341854,157,"3",6.8,7.28,10.3,21.2,1,NA,2,224.4,NA,NA,"B","B81","U111",0.9205,0.23,c(22.82300655, 38.92789512)
54361648,447,"2",6.9,7.25,9.52,19.2,3,NA,2,95.5,NA,NA,"D","D10","U420",0.976,0.19,c(22.49969534, 37.08428632)
54361858,209,"1",6.3,6.89,6.1,11.8,NA,NA,1.4,100.9,NA,NA,"B","B81","U111",0.9585,0.34,c(22.85268862, 38.96053238)
54381656,852,"2",7.6,8.08,16.43,62.4,345,NA,2.1,136.5,NA,NA,"D","D10","U111",0.999,0.34,c(22.53477978, 37.15292575)
54381686,549,"1",7.3,7.9,15.18,39.3,73,30.4,2.7,538.3,2.6,2,"B","B81","U111",0.9585,0.22,c(22.58376455, 37.4213083)
54382232,1202,"1",5.2,5.73,5.14,16.4,NA,NA,1.4,64.4,NA,NA,"C","C21","U120",1.0445,0.1,c(23.57939823, 42.28336772)
54382430,118,"1",4.8,5.17,6.91,5.4,NA,27.1,0.6,65.9,NA,NA,"E","E30","U111",1.344,0,c(23.99621067, 44.03649224)
54382628,395,"2",5.2,5.66,7.5,28.8,1,NA,2.6,161.6,NA,NA,"E","E10","U111",1.2875,0.57,c(24.44811177, 45.78451373)
54401630,287,"1",5,6.21,3.06,2.8,NA,NA,0.5,51.9,NA,NA,"B","B81","U111",0.999,0.26,c(22.51482438, 36.91726961)
54401670,1256,"1",6,6.24,5.98,19,1,34,1.6,62,NA,NA,"C","C31","U120",1.011,0.09,c(22.57974342, 37.27522077)
54401804,174,"1",7.5,8.2,9.96,10.5,6,NA,1.3,117.3,NA,NA,"B","B81","U111",1.3885,0.19,c(22.80435807, 38.47263103)
54402264,836,"1",4.7,5.46,5.89,30.3,NA,52.6,2.9,201,NA,NA,"E","E20","U111",1.35,0.35,c(23.66852623, 42.5637874)
54422204,1246,"4",4.6,5.39,5.05,20.5,NA,NA,1.2,108.1,NA,NA,"C","C22","U120",1.166,0.14,c(23.57063616, 42.02856491)
54422324,440,"1",4.5,5.41,5.52,13.4,NA,13.6,1.2,110.4,1.3,3.5,"B","B16","U111",1.3035,0,c(23.81732639, 43.09199043)
54422352,242,"1",5.6,6.08,13.14,17.6,4,11.6,1.6,98.1,NA,NA,"B","B31","U111",1.2805,0,c(23.87661006, 43.33984802)
54422752,411,"2",5.1,6.01,10.14,40.4,NA,NA,3.6,176.1,NA,NA,"E","E20","U111",1.216,0.67,c(24.8024413, 46.86953049)
54442182,853,"2",4.6,5.39,4.31,6.8,NA,23.4,0.7,90.4,NA,NA,"E","E20","U111",1.577,0.63,c(23.55037514, 41.8301645)
54461626,241,"1",5.9,6.81,4.32,6.2,NA,NA,0.7,49.5,NA,NA,"B","B81","U111",1.017,0.2,c(22.57453058, 36.87258805)
54462066,620,"1",5.4,5.75,32.1,10.6,NA,46.9,1.3,50.5,NA,NA,"E","E30","U319",0.9085,0.23,c(23.34766733, 40.79688704)
54481822,289,"1",7.6,8.35,11.61,71.4,217,23,1.6,381.5,NA,NA,"B","B74","U111",1.022,0.35,c(22.92577437, 38.62107842)
54482052,75,"1",8,8.9,25.8,9.8,17,NA,1.3,186.2,NA,NA,"E","E30","U112",0.949,0.16,c(23.34431055, 40.66927484)
54482070,755,"1",4.8,5.7,3.75,8.7,NA,NA,1,59.2,NA,NA,"C","C10","U420",0.9735,0.2,c(23.37864681, 40.82925509)
54482326,172,"1",7.3,7.55,12.02,2.7,43,NA,0.5,47.2,NA,NA,"C","C10","U120",1.276,0,c(23.89410957, 43.09974807)
54482836,1108,"1",4,4.66,33.66,53.3,NA,66,4.2,83.6,NA,NA,"E","E10","U111",0.821,0.04,c(25.09597541, 47.59720932)
54501640,233,"1",7.5,8.32,17.95,8.7,233,NA,1,106.3,NA,NA,"B","B81","U111",0.9755,0.11,c(22.64138895, 36.9919345)
54502242,693,"1",4.2,4.71,6.16,23.3,NA,NA,2.1,76.1,NA,NA,"C","C10","U120",1.0555,0,c(23.74309448, 42.3524376)
54502256,673,"1",5.8,6.54,5.57,13.4,NA,72.6,1.2,170.9,NA,NA,"B","B31","U111",1.319,0,c(23.7718889, 42.47650032)
54522082,133,"1",4.4,5.38,2.6,NA,NA,38.2,0.3,69.3,NA,NA,"E","E30","U112",1.0145,0.04,c(23.44842284, 40.92949194)
54522636,435,"1",5.2,5.74,6.13,14.2,NA,NA,1.6,129.9,NA,NA,"E","E20","U111",1.367,0.13,c(24.64447676, 45.83047753)
54542164,1041,"1",5,5.66,4.98,22.8,NA,NA,1.6,192.5,NA,NA,"C","C22","U120",1.207,0.06,c(23.63282819, 41.65425581)
54542702,410,"1",6.2,6.65,12.29,31.3,NA,NA,2.9,90,NA,NA,"D","D20","U111",0.9685,0,c(24.83156004, 46.40807947)
54542740,527,"1",5.1,5.86,14.94,56.6,NA,NA,5.2,174.3,NA,NA,"E","E30","U112",0.841,0.14,c(24.92677681, 46.7424149)
54562622,571,"1",5,5.55,5.26,20.5,NA,NA,2,46.2,NA,NA,"E","E10","U420",1.2,0.15,c(24.66131826, 45.70007242)
54581630,196,"2",6.8,6.98,6.96,11,1,NA,1.1,534.9,NA,NA,"D","D10","U420",0.9385,0.14,c(22.71331547, 36.89049479)
54581742,94,"1",7.6,8.11,22.5,14,637,97.5,1.8,199.1,0.3,0.4,"B","B81","U111",1.054,0.2,c(22.90030649, 37.89170312)
54581828,54,"1",7.8,8.39,16.96,14.4,200,NA,1.1,286,NA,NA,"B","B23","U111",0.9825,0.12,c(23.04925739, 38.65922304)
54581990,85,"2",7.5,8.26,16.13,11.2,167,NA,1.1,318.3,NA,NA,"E","E30","U112",1.2485,0.25,c(23.34328045, 40.10210505)
54582260,899,"1",4,4.53,4.255,18.65,NA,NA,1.3,53.65,NA,NA,"C","C10","U120",1.16,0.14,c(23.87596016, 42.49872435)
54582368,163,"1",6.6,7.13,11.97,18.2,NA,NA,1.8,302,1.1,0.7,"B","B11","U111",1.174,0,c(24.10543421, 43.45459006)
54602726,1049,"2",4.5,5.62,8.72,47.3,NA,NA,4.7,160.2,NA,NA,"E","E20","U111",0.956,0.16,c(24.96852215, 46.6084444)
54642202,1378,"1",4,4.74,3.51,13.3,NA,NA,0.6,45.8,NA,NA,"C","C22","U120",1.121,0.16,c(23.82799464, 41.9748652)
54661630,282,"1",7.6,8.3,14.85,7.6,407,NA,1.1,150.8,NA,NA,"B","B81","U111",1.001,0.27,c(22.8014917, 36.87846079)
54662028,884,"1",4.7,5.43,3.98,13.1,NA,NA,1,91.8,NA,NA,"C","C10","U120",1.029,0.19,c(23.50769361, 40.42721629)
54662170,1206,"4",4.6,5.42,5.1,8.9,NA,NA,0.6,105.4,NA,NA,"C","C23","U120",1.4105,0.13,c(23.78670337, 41.6878597)
54662386,133,"1",7.7,8.34,13.88,22.3,52,NA,1.8,213.2,NA,NA,"B","B11","U111",1.2185,0,c(24.24217435, 43.60014566)
54662520,317,"2",7,7.36,34.26,19.4,7,36.6,2,539.6,NA,NA,"D","D20","U312",1.3285,0.2,c(24.54532774, 44.78331458)
54702438,85,"4",5.3,5.92,7.91,19.3,1,48.7,1.7,239.9,NA,NA,"B","B31","U111",1.276,0.3,c(24.40696359, 44.05267033)
54722380,129,"2",7.6,8.23,15.55,19.5,21,11,1.9,197.4,NA,NA,"B","B32","U111",1.281,0.52,c(24.30203079, 43.53685946)
54742798,1157,"1",4.5,5.09,50.94,111.7,NA,NA,9.4,185.7,NA,NA,"E","E20","U111",0.7475,0.37,c(25.33463935, 47.21557834)
54761624,112,"1",7.2,7.84,15.24,22.7,14,NA,2.4,449,2.7,1.2,"B","B81","U111",0.9955,0.25,c(22.90172871, 36.80963699)
54761732,402,"1",6.4,6.67,24.6,122.1,2,22.5,5,629.6,NA,NA,"C","C22","U120",0.6605,0.11,c(23.08416872, 37.77477366)
54761828,257,"1",7.5,8.26,16.77,15.7,496,NA,1.6,243.2,1.1,0.9,"B","B81","U111",1.052,0.13,c(23.25258168, 38.63120069)
54761846,304,"1",7.1,7.45,27.6,78,245,17.2,3.5,576.2,NA,NA,"C","C22","U120",0.621,0.33,c(23.28483737, 38.79162883)
54762692,445,"1",6.9,7.46,21.65,38.1,108,NA,3.8,771.3,NA,NA,"E","E20","U111",1.3035,0.35,c(25.08747997, 46.2803958)
54762854,764,"1",5.8,6.29,31.58,22.1,NA,NA,2.7,169.2,NA,NA,"E","E20","U111",1.2415,0.18,c(25.5099598, 47.7033591)
54781758,387,"1",7.4,7.64,33.2,51.5,151,16.7,3,813.2,NA,NA,"C","C22","U120",1.164,0.3,c(23.15157103, 38.00375178)
54781870,9,"2",7.3,7.98,16.04,30.9,60,NA,2,166.8,0.9,2.3,"B","B81","U111",1.1735,0.15,c(23.35089001, 39.00229833)
54782100,308,"1",7.2,7.8,15.29,22.1,151,NA,2.4,132.5,NA,NA,"E","E10","U111",1.03,0.23,c(23.78769811, 41.04717025)
54782460,143,"1",5.3,6,4.14,18.9,NA,23.9,1.6,209.5,NA,NA,"B","B31","U111",1.3495,0.27,c(24.55531706, 44.23298181)
54802440,65,"2",5.9,6.5,5.01,14.3,NA,5.9,1.3,226.3,NA,NA,"B","B16","U111",1.275,0.01,c(24.53424956, 44.0529731)
54822414,49,"1",5.6,6.1,10.17,21.5,NA,35,1.9,331.1,NA,NA,"B","B32","U111",1.1265,0.23,c(24.49986165, 43.81995241)
54841792,340,"2",7.5,8.24,12.87,14,575,NA,1.3,179.6,NA,NA,"E","E30","U112",0.9505,0.15,c(23.27862619, 38.29767883)
54841800,105,"1",7.8,8.48,17.31,11.4,142,NA,1.1,666.8,NA,NA,"F","F40","U111",1.052,0.25,c(23.29283468, 38.36901321)
54842098,267,"2",7.7,8.25,19.72,8.3,618,22,1.2,463.6,NA,NA,"F","F40","U111",0.9905,0.19,c(23.85391187, 41.01955174)
54842358,105,"2",6.4,6.68,6.52,8.9,4,4.5,1.1,324.4,NA,NA,"B","B31","U111",1.5835,0,c(24.39926953, 43.32181991)
54842704,583,"1",6.8,7.38,16.05,29.2,8,NA,2.8,486.3,NA,NA,"E","E20","U111",1.3095,0.55,c(25.2199567, 46.37127994)
54862104,554,"3",7.4,8.04,13.25,78.2,52,NA,1.4,107.3,NA,NA,"E","E20","U111",1.0115,0.13,c(23.88928781, 41.06948324)
54862248,435,"1",4.6,5.58,3.41,6.7,NA,NA,0.6,70.8,NA,NA,"E","E10","U111",1.374,0.14,c(24.18555969, 42.34554241)
54862490,175,"1",5.4,6.41,5.57,6.8,NA,27.1,0.7,229.7,NA,NA,"E","E30","U111",1.2205,0,c(24.72335187, 44.4835753)
54862666,566,"1",5.4,5.84,7.32,20.2,NA,10.7,2.1,158.4,NA,NA,"E","E20","U111",1.2425,0.84,c(25.14932452, 46.03350854)
54881614,323,"1",7.1,7.83,14.72,25.2,53,NA,2.2,631.4,NA,NA,"D","D20","U111",1.022,0.21,c(23.01710867, 36.70186578)
54882154,690,"1",5.1,5.83,5.16,10.2,NA,NA,1,134.4,NA,NA,"C","C10","U120",1.267,0,c(24.01383793, 41.50955128)
54882406,29,"1",7.7,8.36,13.54,14.7,56,NA,1.3,136.3,NA,NA,"B","B15","U111",1.3185,0,c(24.55511359, 43.73887038)
54902344,295,"2",5.9,6.45,6.01,14.8,1,NA,1.3,129,NA,NA,"B","B31","U111",1.3275,0.17,c(24.44104971, 43.18774727)
54902386,90,"1",7.3,7.97,15.66,20.5,43,NA,2,182.4,NA,NA,"B","B31","U111",1.197,0,c(24.53447891, 43.55878148)
54902668,508,"1",6.9,7.47,19.73,26.9,101,NA,2.5,465.9,NA,NA,"E","E20","U111",1.065,0.76,c(25.20512814, 46.04377863)
54902758,740,"3",5.1,5.61,6.21,21.9,NA,NA,1.9,141.3,NA,NA,"E","E20","U111",1.056,0.33,c(25.43635054, 46.83459234)
54921782,645,"1",6.7,7.26,7.01,22,2,NA,2.3,381.1,3.6,3.3,"D","D20","U420",1.0115,0.07,c(23.35068987, 38.1959103)
54922222,574,"1",6.6,6.7,10.52,28.9,4,NA,2.1,140,NA,NA,"C","C32","U120",1.0755,0.11,c(24.20217612, 42.1052131)
54942224,293,"1",4.7,5.37,5.55,4.8,NA,26.8,0.6,106.2,NA,NA,"B","B37","U111",1.661,0.1,c(24.23017459, 42.11952586)
54942254,389,"1",5.4,6.1,11.68,12.7,NA,NA,1.3,177.5,NA,NA,"B","B11","U111",1.4795,0.01,c(24.2938364, 42.38503825)
54961762,35,"1",7.8,8.46,18.95,17.1,448,38.1,1.8,435.6,NA,NA,"B","B81","U111",1.341,0.08,c(23.36001859, 38.01123536)
54961790,265,"1",7.5,8.29,12.58,15.6,88,28.6,1.6,739.2,NA,NA,"E","E30","U111",1.227,0.14,c(23.40985276, 38.26090825)
54962100,143,"1",7.5,8.29,15.02,13.4,127,NA,1.3,216.5,NA,NA,"F","F40","U111",0.9465,0.25,c(23.99823908, 41.01740331)
54982278,1061,"1",4.5,5.22,6.4,45.5,NA,6.4,3.1,147.3,NA,NA,"E","E10","U111",1.0555,0,c(24.39324191, 42.59049045)
55002216,678,"2",4.4,5.45,5.42,13.9,NA,28.5,1.2,406.7,NA,NA,"C","C10","U120",1.1115,0.02,c(24.28459495, 42.03850042)
55002378,234,"1",5.7,6.68,4.71,15.1,NA,16.5,1.5,170.9,NA,NA,"B","B31","U111",1.3105,0,c(24.63810457, 43.47067177)
55002666,447,"1",4.9,5.26,23.49,81,NA,NA,5.4,246.8,NA,NA,"E","E30","U111",0.981,0.69,c(25.32694775, 46.00779705)
55022506,216,"1",5.1,5.56,6.28,30.6,NA,NA,2.7,177.4,NA,NA,"E","E20","U111",1.2745,0.1,c(24.95895215, 44.59610021)
55042738,776,"1",4.7,4.85,86.8,53.4,1,6.9,5,223.3,NA,NA,"D","D20","U420",0.6855,0.41,c(25.56376808, 46.63279946)
55062222,395,"1",5.7,6.39,5.07,4.5,NA,NA,0.5,50.7,0.9,2.4,"B","B11","U111",1.471,0,c(24.36859437, 42.08134757)
55062600,1107,"1",6,6.41,9.4,26.3,NA,105,2.7,131.2,NA,NA,"E","E20","U111",1.1605,0.17,c(25.23707571, 45.41640429)
55062852,498,"1",4.8,5.61,13.03,26.7,NA,NA,2.7,185.3,NA,NA,"E","E10","U111",1.078,0.4,c(25.89650351, 47.62879888)
55102078,540,"1",7,7.52,16.91,41.6,58,22.1,2.5,177.4,NA,NA,"C","C33","U420",0.797,0.32,c(24.11729329, 40.79886512)
55102172,1305,"4",6.1,6.45,5.17,9.6,1,2.8,1,78.2,NA,NA,"E","E10","U111",1.533,0.17,c(24.3104519, 41.63189317)
55102204,1238,"1",5.2,5.85,5.2,15.6,NA,NA,1.1,136.3,NA,NA,"C","C32","U120",1.0995,0.11,c(24.37784097, 41.91518869)
55102340,450,"1",7.6,8.26,14.05,20.2,358,11.4,1.8,197.5,1,0.4,"B","B11","U111",1.365,0.02,c(24.67393883, 43.1175766)
55121832,192,"1",6.8,7.23,21.3,23.8,2,NA,2,535.2,0.8,2.5,"B","B74","U111",0.8445,0.27,c(23.66613709, 38.60948889)
55141798,77,"1",7.7,8.38,16.4,13.7,206,NA,1.2,128.9,0.4,0.8,"B","B51","U111",1.181,0.11,c(23.6264252, 38.30342804)
55142186,854,"1",5.1,5.7,8.05,29.1,NA,NA,1.9,104.3,NA,NA,"C","C10","U120",0.8975,0.04,c(24.38711258, 41.7490031)
55162612,865,"2",4.8,5.49,7.84,18.8,NA,NA,2,85.2,NA,NA,"C","C10","U120",0.1725,0.43,c(25.39260531, 45.50350592)
55162738,995,"1",4.5,5.35,11.96,44.3,NA,21.6,4.3,116.8,NA,NA,"E","E20","U111",1.084,0.03,c(25.71755715, 46.61014637)
